partition_id,quant_bits,coder_channels,en_stride,best_acc,min_loss
3,-1,4,2,0.8221614227086184,0.5900892174762228
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,4,2,0.8221614227086184,0.5900892174762228
3,-1,4,2,0.8221614227086184,0.5900892174762228
3,-1,8,1,0.8549931600547196,0.4917262118795644
3,-1,32,1,0.8673050615595075,0.4829067561937415
3,-1,4,1,0.841313269493844,0.5169059919274371
3,-1,4,2,0.8221614227086184,0.5900892174762228
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,16,2,0.8604651162790697,0.5091081702190897
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,32,1,0.8673050615595075,0.4829067561937415
3,-1,16,2,0.8604651162790697,0.5091081702190897
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,16,2,0.8604651162790697,0.5091081702190897
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,4,1,0.841313269493844,0.5169059919274371
3,-1,4,2,0.8221614227086184,0.5900892174762228
3,-1,16,2,0.8604651162790697,0.5091081702190897
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,8,1,0.8549931600547196,0.4917262118795644
3,-1,32,1,0.8673050615595075,0.4829067561937415
3,-1,8,1,0.8549931600547196,0.4917262118795644
3,-1,32,2,0.853625170998632,0.4812964149143385
3,-1,4,2,0.8221614227086184,0.5900892174762228
3,-1,16,1,0.8686730506155951,0.4451823441878609
3,-1,32,2,0.853625170998632,0.4812964149143385
3,-1,32,1,0.8673050615595075,0.4829067561937415
3,-1,16,2,0.8604651162790697,0.5091081702190897
3,-1,4,2,0.8221614227086184,0.5900892174762228
3,-1,16,2,0.8604651162790697,0.5091081702190897
3,-1,8,1,0.8549931600547196,0.4917262118795644
3,-1,16,2,0.8604651162790697,0.5091081702190897
3,-1,16,1,0.8686730506155951,0.4451823441878609
3,-1,8,1,0.8549931600547196,0.4917262118795644
3,-1,4,2,0.8221614227086184,0.5900892174762228
3,-1,8,1,0.8549931600547196,0.4917262118795644
3,-1,4,1,0.841313269493844,0.5169059919274371
3,-1,32,2,0.853625170998632,0.4812964149143385
3,-1,32,2,0.853625170998632,0.4812964149143385
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,32,2,0.853625170998632,0.4812964149143385
3,-1,8,1,0.8549931600547196,0.4917262118795644
3,-1,4,2,0.8221614227086184,0.5900892174762228
3,-1,8,1,0.8549931600547196,0.4917262118795644
3,-1,4,1,0.841313269493844,0.5169059919274371
3,-1,16,2,0.8604651162790697,0.5091081702190897
3,-1,32,2,0.853625170998632,0.4812964149143385
3,-1,16,2,0.8604651162790697,0.5091081702190897
3,-1,8,1,0.8549931600547196,0.4917262118795644
3,-1,32,1,0.8673050615595075,0.4829067561937415
3,-1,16,1,0.8686730506155951,0.4451823441878609
3,-1,16,1,0.8686730506155951,0.4451823441878609
3,-1,32,2,0.853625170998632,0.4812964149143385
3,-1,4,2,0.8221614227086184,0.5900892174762228
3,-1,8,1,0.8549931600547196,0.4917262118795644
3,-1,16,1,0.8686730506155951,0.4451823441878609
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,4,1,0.841313269493844,0.5169059919274371
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,8,1,0.8549931600547196,0.4917262118795644
3,-1,32,2,0.853625170998632,0.4812964149143385
3,-1,16,2,0.8604651162790697,0.5091081702190897
3,-1,4,2,0.8221614227086184,0.5900892174762228
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,32,2,0.853625170998632,0.4812964149143385
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,8,1,0.8549931600547196,0.4917262118795644
3,-1,4,1,0.841313269493844,0.5169059919274371
3,-1,32,1,0.8673050615595075,0.4829067561937415
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,4,1,0.841313269493844,0.5169059919274371
3,-1,4,1,0.841313269493844,0.5169059919274371
3,-1,4,2,0.8221614227086184,0.5900892174762228
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,4,1,0.841313269493844,0.5169059919274371
3,-1,32,2,0.853625170998632,0.4812964149143385
3,-1,32,2,0.853625170998632,0.4812964149143385
3,-1,16,1,0.8686730506155951,0.4451823441878609
3,-1,8,1,0.8549931600547196,0.4917262118795644
3,-1,8,2,0.8481532147742818,0.5139590553615404
3,-1,32,2,0.853625170998632,0.4812964149143385
3,-1,8,1,0.8549931600547196,0.4917262118795644
3,-1,4,1,0.841313269493844,0.5169059919274371
